categorie,official_name,longitude,latitude,address_txt,opening_hours,insee,id
france_travail,Agence France Travail ISSOIRE,3.242812,45.544145,47 Rue du 8 Mai 63500 Issoire,Mo-Fr 08:30-12:30,63178,0b550fc1-192c-4b8e-a454-0bfcf2722bda
france_travail,Agence France Travail Montereau-Fault-Yonne,2.957997,48.384559,2 Rue Edmond Fortin 77130 Montereau-Fault-Yonne,,77305,0bba9740-2cd9-4d10-874d-8945c421411e
france_travail,Agence France Travail NONTRON,0.660615,45.526054,Place PAUL BERT 24300 Nontron,Mo-Fr 08:30-12:30,24311,0c39a124-0713-4dec-b491-ed3afd9730d8
france_travail,Agence France Travail Gonesse,2.456379,48.982174,10 Rue Berthelot 95500 Gonesse,,95277,0cb35435-b255-4a9b-8f66-1e8655f5c1fe
france_travail,Agence France Travail CHERBOURG PROVINCES,-1.634425,49.626026,2 Rue de Touraine 50130 Cherbourg-en-Cotentin,Mo-Fr 08:30-12:30,50129,0d581b48-c700-4811-9f9d-87a8e4a70a6b
france_travail,Agence France Travail ST JUNIEN,0.904122,45.888255,2 Avenue Anatole France 87200 Saint-Junien,Mo-Fr 08:30-12:30,87154,0d86674c-d563-46d7-869d-c2ba73392bb7
france_travail,Agence France Travail BORDEAUX MERIADECK,-0.588191,44.838066,TOUR 2000  1 Terrasse Front du Médoc 33000 Bordeaux,Mo-Fr 08:30-12:30,33063,0e3dfb4c-53cc-4d78-8a94-6b4a4c374f41
france_travail,Agence France Travail LA GARDE,6.026346,43.138953,250 Avenue du Reganas 83130 La Garde,Mo-Fr 08:30-12:30,83062,0e56cd37-aaa0-4b72-a2d5-900b2358593d
france_travail,Agence France Travail SAINT JOSEPH,55.621041,-21.376575,40 Rue du General de Gaulle 97480 Saint-Joseph,Mo-Fr 07:30-11:30,97412,0e69b667-3d20-4238-98e3-ddefc09ddbab
france_travail,Agence France Travail BRIEY,5.939285,49.244145,2 Rue de la Filature 54150 Val de Briey,Mo-Fr 08:30-12:30,54099,0e9ec8c1-9325-4972-bca6-cc6bd9e99d92
france_travail,Agence France Travail LUXEUIL,6.358286,47.809544,ZAC des 7 chevaux  1 Rue Bourgeline 70300 Luxeuil-les-Bains,Mo-Fr 08:30-12:30,70311,0f0054e6-22e4-4416-9061-fcb0faf8bec2
france_travail,Agence France Travail BLAGNAC,1.378429,43.644039,11 Mail Louis Aragon 31700 Blagnac,Mo-Fr 08:30-12:30,31069,10969ad7-8b4b-4d2a-9644-b46f17cb7249
france_travail,Agence France Travail FONTAINE,5.696084,45.191167,26 Rue de la Liberté 38600 Fontaine,Mo-Fr 08:30-12:30,38169,10fd6092-acf7-4687-97b5-8532f864052c
france_travail,Agence France Travail PONT DE CLAIX,5.697133,45.122155,1 Avenue du Maréchal Juin 38800 Le Pont-de-Claix,Mo-Fr 08:30-12:30,38317,11594dd1-f80f-4b94-a44c-214fe6800c95
france_travail,Agence France Travail GARDANNE,5.469178,43.452996,CITE ADMINISTRATIVE  Rue Jules Ferry 13120 Gardanne,Mo-Fr 08:30-12:30,13041,11757fa0-f46a-432d-9969-f28472b5b0b0
france_travail,Agence France Travail CASTELNAUDARY,1.950498,43.320905,Espace Tuffery  Boulevard Lapasset 11400 Castelnaudary,Mo-Fr 08:30-12:30,11076,11b14e98-5f83-47d8-85a0-549ea2ace6be
france_travail,Agence France Travail PARTHENAY,-0.238916,46.648389,MAISON DE L EMPLOI DE PARTHENAY  13 Boulevard Edgard Quinet 79200 Parthenay,Mo-Fr 08:30-12:30,79202,129af3a4-7bcd-4ec3-905a-d1e36adf34e2
france_travail,Agence France Travail PARENTIS,-1.0713,44.350781,113 Allée Malichecq 40160 Parentis-en-Born,Mo-Fr 08:30-12:30,40217,136c619b-f591-47c0-be5d-7615de547cc2
france_travail,Relai France Travail SAINT ELOY,2.835146,46.16062,6 rue des bayons 63700 Saint-Éloy-les-Mines,,63338,1399a078-5d69-4893-9377-d42aeed8913e
france_travail,Agence spécialisée France Travail SCENES ET IMAGES,4.874786,45.773159,41a Rue Colin 69100 Villeurbanne,Mo-Fr 08:30-12:30,69266,13bc1f35-dbda-4339-b99e-701e572c158d
france_travail,Agence France Travail MARSEILLE PORTE D'AIX,5.374153,43.302103,Place jules guesde 13002 Marseille,Mo-Fr 08:30-12:30,13055,13da3386-7432-494d-b438-633dfe182cb7
france_travail,Agence France Travail CANNES,6.96832,43.559681,156 Avenue Michel Jourdan 06150 Cannes,Mo-Fr 08:30-12:30,06029,1422a144-89fa-4e7a-b5a6-2368277c5d74
france_travail,Agence France Travail Palaiseau,2.248737,48.717284,9 Rue Edouard Branly 91120 Palaiseau,,91477,14bdcf50-fe45-478c-9794-1db201720284
france_travail,Agence France Travail AIX LES BAINS,5.909217,45.690498,128 Boulevard Président Wilson 73100 Aix-les-Bains,Mo-Fr 08:30-12:30,73008,14ee1c74-a19f-4e85-82b9-9ff2770601c9
france_travail,Agence France Travail CAEN BEAULIEU,-0.398472,49.185692,2 Rue Nicolas Oresme 14000 Caen,Mo-Fr 08:30-12:30,14118,152e5d20-8288-4ee9-88cc-618de81aaad6
france_travail,Agence France Travail ANGERS LA ROSERAIE,-0.562157,47.445237,5 Rue Henri Bergson 49000 Angers,Mo-Fr 08:30-12:30,49007,15319814-91b9-4b97-a3c9-42ef15d6a496
france_travail,Agence France Travail FORT DE FRANCE KERLYS,-61.050669,14.613535,BP 448  rue de kerlys 97200 Fort-de-France,Mo-Fr 07:30-12:00,97209,1589b367-c042-4060-971f-b4df03b7197d
france_travail,Agence France Travail LOUDUN,0.083382,47.01994,ZI DE OUAGADOUGOU  1 Rue des Aubuies 86200 Loudun,Mo-Fr 08:30-12:30,86137,15b33f94-1e3f-4890-8092-7caecd903bca
france_travail,Agence France Travail STRASBOURG PONT MATTHIS,7.734476,48.577961,2 Rue Gustave Adolphe Hirn 67000 Strasbourg,Mo-Fr 08:30-12:30,67482,15f2b0ca-4fb5-45d0-b134-68830126dd3e
france_travail,Agence France Travail HENIN-BEAUMONT,2.947826,50.416347,91 Rue de la Perche 62110 Hénin-Beaumont,,62427,16321c03-d0fb-4c49-b035-58b63ec2b600
france_travail,Agence France Travail CARPENTRAS,5.045046,44.059306,158 Allée des Tilleuls 84200 Carpentras,Mo-Fr 08:30-12:30,84031,16326b3b-4087-48a7-afea-322cb81f03ff
france_travail,Agence France Travail AVALLON,3.916489,47.491571,62 Rue de Lyon 89200 Avallon,Mo-Fr 08:30-12:30,89025,1664c1d4-3ced-43a0-964a-d69e58b73786
france_travail,Relai France Travail CORTE,9.149663,42.310235,34 Cours Paoli 20250 Corte,,2B096,17aa7cc2-ee93-46de-82e5-71180371de00
france_travail,Agence France Travail OULLINS,4.810586,45.719912,18 Grande Rue 69600 Oullins-Pierre-Bénite,Mo-Fr 08:30-12:30,69149,182ffe95-be81-49eb-bb97-e1774a3e12a0
france_travail,Agence France Travail EVREUX DELAUNE,1.158989,49.005614,6 Rue Auguste Delaune 27000 Évreux,Mo-Fr 08:30-12:30,27229,195be204-d1d3-45ec-bf85-226f492f59a0
france_travail,Agence France Travail KAWENI,45.225886,-12.767018,Route Nationale 1 97600 Mamoudzou,Mo-Fr 07:30-11:30,97611,1a312e72-c773-4b05-bc64-f48d4b19aeaf
france_travail,Agence France Travail BORDEAUX BASTIDE,-0.555175,44.838436,Rue René Buthaud 33100 Bordeaux,Mo-Fr 08:30-12:30,33063,1b04effb-d6d3-48ed-9f55-4c5ce0dae7af
france_travail,Agence France Travail HAYANGE,6.075336,49.323417,1 Rue de Wendel 57700 Hayange,Mo-Fr 08:30-12:30,57306,1b2c827a-52bc-4f0f-86a8-02de3b94662b
france_travail,Agence France Travail DECAZEVILLE,2.25618,44.558725,MAISON EMPLOI FORM ZI DU CENTRE  Avenue du 10 Aout 12300 Decazeville,Mo-Fr 08:30-12:30,12089,1b76ef67-a30c-4649-883c-3ecbc8dd07c3
france_travail,Agence France Travail SARREGUEMINES,7.071983,49.10544,42 rue poincaré 57200 Sarreguemines,Mo-Fr 08:30-12:30,57631,1b888680-b993-4ecd-982e-bd4b883a10e9
france_travail,Agence France Travail ST LAURENT DU MARONI,-54.034808,5.474883,DOMAINE DU LAC BLEU  1 Allée des Ibis 97320 Saint-Laurent-du-Maroni,,97311,1b9a4ec9-a4d4-4694-8a7d-df70828c5b5f
france_travail,Agence France Travail DREUX,1.369535,48.731207,1 Rue Pierre Semard 28100 Dreux,Mo-Fr 08:45-12:45,28134,1be24b21-e01e-4fe3-a09c-4b1d577757eb
france_travail,Agence France Travail Saint-Denis,2.340708,48.923126,4 Rue Ampère 93200 Saint-Denis,,93066,1c33c174-f155-4ea1-954f-afc5d6d4c87e
france_travail,Agence France Travail MERU,2.124773,49.231823,6 Rue du 8 Mai 1945 60110 Méru,Mo-Fr 08:30-12:30,60395,1c3f3432-f2af-4612-9568-e3c8c16f8365
france_travail,Agence France Travail CHALON CENTRE,4.844986,46.780138,27 Avenue Georges Pompidou 71100 Chalon-sur-Saône,Mo-Fr 08:30-12:30,71076,1c4021f3-ff2e-4371-b551-c4ef4711477d
france_travail,Agence France Travail MONTLUCON,2.608525,46.345367,51 Avenue Général de Gaulle 03100 Montluçon,Mo-Fr 08:30-12:30,03185,1c435d67-b210-4ef2-8d52-1b6327f06dbd
france_travail,Agence France Travail ORLEANS EST,1.97303,47.910656,8 Boulevard Emile Bernon 45800 Saint-Jean-de-Braye,Mo-Fr 08:45-12:45,45284,1c7b7f83-1eca-4b2a-bd74-a87eeb3fe2bf
france_travail,Agence France Travail Juvisy-sur-Orge,2.371239,48.695844,83 Avenue de la Cour de France 91260 Juvisy-sur-Orge,,91326,1cd0dbf2-09bf-4e20-97e9-f2cf5aed43b2
france_travail,Agence France Travail LA TOUR DU PIN,5.443981,45.564984,39 Boulevard Gambetta 38110 La Tour-du-Pin,Mo-Fr 08:30-12:30,38509,1cd9fc07-fb03-4fbb-85ab-24d362c7af65
france_travail,Agence France Travail CREST,5.010588,44.735112,4 Avenue Félix Rozier 26400 Crest,Mo-Fr 08:30-12:30,26108,1ce7efde-4c48-4eee-a025-306950173cd8
france_travail,Agence France Travail SAINT-ASTIER,0.528177,45.149645,Boulevard Pierre Mallebay 24110 Saint-Astier,Mo-Fr 08:30-12:30,24372,1d4777b7-0c1e-4e3f-9fbf-383e569a2dcf
